"sample_name","embryo_no","embryo_phase","status","notes"
"5M4",1,"4to16cell","typical",NA
"5M4",2,"egg","typical",NA
"5M4",3,"egg","typical",NA
"5M4",4,"egg","typical",NA
"5M4",5,"egg","typical",NA
"5M4",6,"egg","typical",NA
"5M4",7,"egg","typical",NA
"5M4",8,"egg","typical",NA
"5M4",9,"egg","typical",NA
"5M4",10,"egg","typical",NA
"5M4",11,"egg","typical",NA
"5M4",12,"egg","typical",NA
"5M4",13,"egg","typical",NA
"5M4",14,"egg","typical",NA
"5M4",15,"egg","typical",NA
"5M4",16,"egg","typical",NA
"5M4",17,"egg","typical",NA
"5M4",18,"egg","typical",NA
"5M4",19,"egg","typical",NA
"5M4",20,"4to16cell","typical",NA
"5M4",21,"egg","typical",NA
"5M4",22,"egg","typical",NA
"5M4",23,"egg","typical",NA
"5M4",24,"egg","typical",NA
"5M4",25,"egg","typical",NA
"5M4",26,"egg","typical",NA
